slug	name	url	image
index	项目首页	https://scfstem.zeabur.app/index.html	assets/qrcodes/项目首页.jpg
vibe-coding-advanced	Vibe Coding 高级班	https://scfstem.zeabur.app/projects/vibe-coding-advanced.html	assets/qrcodes/Vibe Coding 高级班.jpg
vibe-coding-starter	Vibe Coding 初级版	https://scfstem.zeabur.app/projects/vibe-coding-starter.html	assets/qrcodes/Vibe Coding 初级版.jpg
openclaw-camp	OpenClaw 实训营	https://scfstem.zeabur.app/projects/openclaw-camp.html	assets/qrcodes/OpenClaw 实训营.jpg
emotion-early-intervention	情绪早期干预系统	https://scfstem.zeabur.app/projects/emotion-early-intervention.html	assets/qrcodes/情绪早期干预系统.jpg
tongue-diagnosis-ai	舌像检测	https://scfstem.zeabur.app/projects/tongue-diagnosis-ai.html	assets/qrcodes/舌像检测.jpg
gut-acoustic-ai	肠道声学信号	https://scfstem.zeabur.app/projects/gut-acoustic-ai.html	assets/qrcodes/肠道声学信号.jpg
smart-pet-walker	智能行宠	https://scfstem.zeabur.app/projects/smart-pet-walker.html	assets/qrcodes/智能行宠.jpg
shade-cloud	遮阳云朵	https://scfstem.zeabur.app/projects/shade-cloud.html	assets/qrcodes/遮阳云朵.jpg
memory-guardian	记忆守护者	https://scfstem.zeabur.app/projects/memory-guardian.html	assets/qrcodes/记忆守护者.jpg
parkinson-band	帕金森手环	https://scfstem.zeabur.app/projects/parkinson-band.html	assets/qrcodes/帕金森手环.jpg
upper-limb-exoskeleton	上肢外骨骼	https://scfstem.zeabur.app/projects/upper-limb-exoskeleton.html	assets/qrcodes/上肢外骨骼.jpg
micro-wind-power	微风发电	https://scfstem.zeabur.app/projects/micro-wind-power.html	assets/qrcodes/微风发电.jpg
ai-vision-eye	AI智眼	https://scfstem.zeabur.app/projects/ai-vision-eye.html	assets/qrcodes/AI智眼.jpg
humanoid-robot	人型机器人	https://scfstem.zeabur.app/projects/humanoid-robot.html	assets/qrcodes/人型机器人.jpg
smart-planter	智能花盆	https://scfstem.zeabur.app/projects/smart-planter.html	assets/qrcodes/智能花盆.jpg
smart-pillbox	智能药盒	https://scfstem.zeabur.app/projects/smart-pillbox.html	assets/qrcodes/智能药盒.jpg
desktop-pet	智能桌宠	https://scfstem.zeabur.app/projects/desktop-pet.html	assets/qrcodes/智能桌宠.jpg
